2018-10-29 18:02:33,253 [main] INFO  SocketServer - ===start socket:7780
2018-10-29 18:10:07,137 [http-8080-2] INFO  PosController - lbs=460,0,10173,4931,46,10173,4263,35,10173,4572,35,10173,4934,33,9363,5463,31,10173,4932,31
2018-10-29 18:10:07,138 [http-8080-2] INFO  PosController - wifi=4c:48:da:25:0b:11,-59,alibaba-inc|4c:48:da:25:1a:11,-77,alibaba-inc
2018-10-29 18:10:07,138 [http-8080-2] INFO  PosController - deviceId=45456456456465
2018-10-29 18:10:07,632 [http-8080-2] INFO  DruidDataSource - {dataSource-1} inited
2018-10-29 18:16:00,097 [http-8080-2] INFO  PosController - lbs=460,0,10173,4931,46,10173,4263,35,10173,4572,35,10173,4934,33,9363,5463,31,10173,4932,31
2018-10-29 18:16:00,097 [http-8080-2] INFO  PosController - wifi=4c:48:da:25:0b:11,-59,alibaba-inc|4c:48:da:25:1a:11,-77,alibaba-inc
2018-10-29 18:16:00,098 [http-8080-2] INFO  PosController - deviceId=45456456456465
2018-10-29 18:16:14,977 [http-8080-2] INFO  PosController - lbs=460,0,10173,4931,46,10173,4263,35,10173,4572,35,10173,4934,33,9363,5463,31,10173,4932,31
2018-10-29 18:16:14,977 [http-8080-2] INFO  PosController - wifi=
2018-10-29 18:16:14,977 [http-8080-2] INFO  PosController - deviceId=45456456456465
